"label_wn_quote","is_delivery_at_holiday","is_created_at_holiday","duration","gender","area_cleaning","day_of_week_delivery","day_of_week_created","total_cost","all_offers","corporate_offers","individual_offers","offers_busy","district","past_day_all_orders","past_day_wq_1h","past_day_wq_2h","past_day_wq_3h","cost_to_area","cost_times_area","duration_to_area","duration_times_area","indiv_offers_to_all_offers","corp_offers_to_all_offers","busy_offers_to_all_offers"
0,0,0,1,"0",-1,"2","0",-10000,37,4,33,0,"3",205,115,151,170,NA,NA,NA,NA,0.891891891891892,0.108108108108108,0
1,0,0,1,"0",-1,"3","3",105000,82,9,73,0,"6",62,33,43,51,NA,NA,NA,NA,0.890243902439024,0.109756097560976,0
1,0,0,5,"2",3,"0","1",190000,79,8,71,1,"2",155,132,142,143,63333.3333333333,570000,1.66666666666667,15,0.89873417721519,0.10126582278481,0.0126582278481013
1,0,0,2,"2",1,"3","1",-10000,145,5,140,18,"16",90,47,58,62,NA,NA,2,2,0.96551724137931,0.0344827586206897,0.124137931034483
1,1,0,5,"2",3,"5","1",200000,78,6,72,0,"4",151,120,132,135,66666.6666666667,600000,1.66666666666667,15,0.923076923076923,0.0769230769230769,0
0,1,0,5,"2",6,"5","4",280000,48,4,44,0,"6",46,41,43,43,46666.6666666667,1680000,0.833333333333333,30,0.916666666666667,0.0833333333333333,0
1,1,0,1,"1",3,"5","3",-10000,83,8,75,0,"2",35,35,35,35,NA,NA,0.333333333333333,3,0.903614457831325,0.0963855421686747,0
1,0,0,3,"2",4,"0","6",-10000,160,11,149,0,"3",40,30,31,35,NA,NA,0.75,12,0.93125,0.06875,0
1,0,0,1,"2",4,"1","0",110000,160,11,149,0,"6",45,33,39,43,27500,440000,0.25,4,0.93125,0.06875,0
1,0,0,3,"2",3,"2","1",140000,159,12,147,0,"5",37,32,34,36,46666.6666666667,420000,1,9,0.924528301886792,0.0754716981132075,0
1,0,0,5,"1",3,"4","2",170000,88,8,80,1,"2",56,46,47,47,56666.6666666667,510000,1.66666666666667,15,0.909090909090909,0.0909090909090909,0.0113636363636364
1,0,0,1,"2",2,"2","1",110000,44,6,38,0,"6",23,22,22,22,55000,220000,0.5,2,0.863636363636364,0.136363636363636,0
1,0,0,1,"2",4,"1","0",110000,160,11,149,0,"6",45,33,39,43,27500,440000,0.25,4,0.93125,0.06875,0
1,0,0,1,"1",5,"2","3",150000,79,9,70,0,"9",37,31,33,35,30000,750000,0.2,5,0.886075949367089,0.113924050632911,0
1,0,0,5,"1",4,"4","2",162000,86,7,79,0,"16",67,48,58,59,40500,648000,1.25,20,0.918604651162791,0.0813953488372093,0
1,0,1,1,"1",4,"4","3",130000,87,7,80,0,"14",39,34,35,37,32500,520000,0.25,4,0.919540229885057,0.0804597701149425,0
0,0,0,1,"1",3,"2","1",130000,78,6,72,0,"20",155,125,139,142,43333.3333333333,390000,0.333333333333333,3,0.923076923076923,0.0769230769230769,0
0,0,1,1,"2",4,"6","5",-10000,147,6,141,1,"1",34,19,27,28,NA,NA,0.25,4,0.959183673469388,0.0408163265306122,0.00680272108843537
1,0,0,3,"2",5,"4","3",210000,93,10,83,0,"1",47,28,34,41,42000,1050000,0.6,15,0.89247311827957,0.10752688172043,0
1,0,0,1,"0",-1,"3","3",105000,82,9,73,0,"6",62,33,43,51,NA,NA,NA,NA,0.890243902439024,0.109756097560976,0
1,1,0,3,"0",-1,"5","3",130000,22,4,18,0,"13",33,32,32,32,NA,NA,NA,NA,0.818181818181818,0.181818181818182,0
1,0,0,2,"0",-1,"2","0",30000,90,3,87,8,"10",105,38,47,58,NA,NA,NA,NA,0.966666666666667,0.0333333333333333,0.0888888888888889
0,1,0,1,"0",-1,"5","3",125000,53,6,47,0,"7",50,42,46,46,NA,NA,NA,NA,0.886792452830189,0.113207547169811,0
1,0,1,1,"0",-1,"6","5",115000,23,5,18,0,"8",25,22,23,23,NA,NA,NA,NA,0.782608695652174,0.217391304347826,0
1,0,0,5,"1",6,"3","6",180000,34,4,30,0,"2",46,40,42,42,30000,1080000,0.833333333333333,30,0.882352941176471,0.117647058823529,0
1,0,0,1,"2",4,"1","0",110000,160,11,149,0,"6",45,33,39,43,27500,440000,0.25,4,0.93125,0.06875,0
1,0,0,3,"2",4,"4","3",120000,152,6,146,8,"8",59,33,39,42,30000,480000,0.75,12,0.960526315789474,0.0394736842105263,0.0526315789473684
1,1,0,3,"1",1,"4","1",-10000,61,6,55,0,"6",158,82,119,126,NA,NA,3,3,0.901639344262295,0.0983606557377049,0
1,0,0,1,"2",3,"4","3",95000,136,5,131,8,"22",62,33,43,46,31666.6666666667,285000,0.333333333333333,3,0.963235294117647,0.0367647058823529,0.0588235294117647
1,0,0,5,"2",3,"3","1",120000,152,7,145,0,"5",59,36,40,45,40000,360000,1.66666666666667,15,0.953947368421053,0.0460526315789474,0
1,1,1,2,"1",4,"5","4",150000,93,13,80,0,"4",46,26,35,37,37500,600000,0.5,8,0.860215053763441,0.139784946236559,0
1,0,0,1,"0",-1,"3","2",125000,52,7,45,0,"2",140,109,119,120,NA,NA,NA,NA,0.865384615384615,0.134615384615385,0
1,1,0,1,"2",3,"0","5",100000,142,4,138,54,"2",46,23,28,29,33333.3333333333,300000,0.333333333333333,3,0.971830985915493,0.028169014084507,0.380281690140845
0,0,0,2,"2",4,"4","3",118000,148,12,136,0,"4",53,23,33,39,29500,472000,0.5,8,0.918918918918919,0.0810810810810811,0
1,0,0,1,"0",-1,"3","3",105000,82,9,73,0,"6",62,33,43,51,NA,NA,NA,NA,0.890243902439024,0.109756097560976,0
1,0,0,1,"2",4,"2","0",128000,143,4,139,4,"8",85,36,45,55,32000,512000,0.25,4,0.972027972027972,0.027972027972028,0.027972027972028
1,0,0,1,"2",4,"1","0",110000,160,11,149,0,"6",45,33,39,43,27500,440000,0.25,4,0.93125,0.06875,0
1,0,1,2,"2",5,"1","0",200000,89,8,81,0,"out_of_range",22,20,22,22,40000,1000000,0.4,10,0.910112359550562,0.0898876404494382,0
1,0,0,3,"1",4,"3","2",140000,91,8,83,0,"1",66,41,50,53,35000,560000,0.75,12,0.912087912087912,0.0879120879120879,0
1,0,0,2,"2",6,"2","1",105000,163,11,152,0,"5",52,33,42,45,17500,630000,0.333333333333333,12,0.932515337423313,0.0674846625766871,0
1,0,0,1,"1",4,"0","2",100000,155,5,150,0,"3",91,36,59,72,25000,400000,0.25,4,0.967741935483871,0.032258064516129,0
1,0,0,2,"0",-1,"2","0",170000,48,7,41,0,"5",39,39,39,39,NA,NA,NA,NA,0.854166666666667,0.145833333333333,0
1,0,0,5,"1",2,"6","3",-10000,90,10,80,0,"3",25,19,22,23,NA,NA,2.5,10,0.888888888888889,0.111111111111111,0
0,0,0,5,"0",-1,"2","6",209000,50,6,44,0,"5",134,16,30,44,NA,NA,NA,NA,0.88,0.12,0
1,0,0,1,"0",-1,"0","6",85000,91,4,87,0,"6",15,13,14,14,NA,NA,NA,NA,0.956043956043956,0.043956043956044,0
1,1,0,4,"2",5,"5","2",130000,143,4,139,0,"17",68,26,38,47,26000,650000,0.8,20,0.972027972027972,0.027972027972028,0
1,0,1,1,"2",2,"0","4",-10000,36,6,30,0,"9",32,30,30,30,NA,NA,0.5,2,0.833333333333333,0.166666666666667,0
1,1,0,5,"0",-1,"5","3",180000,60,7,53,1,"7",57,40,48,48,NA,NA,NA,NA,0.883333333333333,0.116666666666667,0.0166666666666667
1,0,1,2,"1",6,"1","4",-10000,55,5,50,0,"1",80,61,63,63,NA,NA,0.333333333333333,12,0.909090909090909,0.0909090909090909,0
0,0,0,5,"2",5,"1","2",-10000,79,7,72,0,"22",131,73,111,119,NA,NA,1,25,0.911392405063291,0.0886075949367089,0
1,0,0,2,"1",3,"4","2",130000,140,5,135,0,"17",25,24,24,24,43333.3333333333,390000,0.666666666666667,6,0.964285714285714,0.0357142857142857,0
1,0,0,1,"0",-1,"4","2",105000,74,10,64,0,"8",41,27,33,36,NA,NA,NA,NA,0.864864864864865,0.135135135135135,0
1,0,0,2,"1",5,"4","1",120000,86,9,77,0,"1",23,21,21,21,24000,600000,0.4,10,0.895348837209302,0.104651162790698,0
0,1,1,1,"1",4,"1","0",-10000,143,6,137,0,"1",17,16,16,16,NA,NA,0.25,4,0.958041958041958,0.041958041958042,0
1,0,0,1,"2",6,"0","6",115000,61,7,54,2,"2",14,13,13,13,19166.6666666667,690000,0.166666666666667,6,0.885245901639344,0.114754098360656,0.0327868852459016
